Bird_ID	Trip_ID	min_Date	max_Date	min_Latitude	max_Latitude	min_Longitude	max_Longitude	track_dur	total_distance	max_Dcol	mean_Temperature	sd_Temperature	mean_Speed	sd_Speed
15_L064343	3	2023-08-21 04:53:05	2023-08-21 20:47:20	38.93908	39.4147467	-9.8648033	-9.47796	15.9041666666667	4079.53	58.04	19.9368421052632	0.920343672116037	17.7207157894737	18.9266261257381
15_L064343	4	2023-08-22 04:59:13	2023-08-22 20:54:51	39.0440283	39.4223883	-9.7499867	-9.4996633	15.9272222222222	2736.72	45.46	21.2553191489362	1.55152488440927	10.5997446808511	17.534743654553
15_L064343	5	2023-08-23 05:05:43	2023-08-23 21:02:09	39.1324783	39.442935	-9.884785	-9.5050267	15.9405555555556	2865.09	43.27	20.7872340425532	1.21701503710886	9.1023829787234	15.2300498471402
15_L064343	6	2023-08-24 04:29:20	2023-08-26 21:22:08	38.6633433	39.41407	-10.1687633	-9.47357	64.88	18279.3	85.67	19.3571428571429	1.76826258168493	14.8845925925926	18.9582823424841
15_L064343	7	2023-08-26 22:52:24	2023-08-27 21:35:47	39.1190117	39.4143417	-10.0975367	-9.405515	22.7230555555556	2468.84	51.86	18.046511627907	1.25536638772984	15.418976744186	17.5255787085553
15_L064343	8	2023-08-28 03:56:06	2023-08-29 02:51:33	39.290605	39.4712283	-9.901215	-9.49165	22.9241666666667	2651.97	36.06	18.2137404580153	1.17674671209546	11.8754198473282	16.712057724407
15_L064343	9	2023-08-29 04:38:46	2023-08-30 20:46:49	38.7585917	39.4288983	-9.9751483	-9.400395	40.1341666666667	10025.23	80.15	17.4364406779661	1.5791818648982	13.5839491525424	18.401627667068
15_L064343	10	2023-08-30 21:20:01	2023-09-01 02:50:46	38.795145	39.4140583	-10.0697683	-9.478115	29.5125	7865.15	72.16	18.4476744186047	1.82017457836221	17.9062558139535	18.9154793563157
15_L064343	11	2023-09-01 03:57:34	2023-09-01 20:29:57	39.2835683	39.5552617	-9.91483	-9.4911317	16.5397222222222	1923.85	37.65	20.3369565217391	1.98498303983146	8.83726086956522	15.934116309622
15_L064343	12	2023-09-02 05:11:49	2023-09-02 20:16:37	39.023875	39.42192	-9.61165	-9.4375533	15.08	2444.89	43.32	17.1888888888889	1.0155470595754	12.5730222222222	18.7320664228859
16_L93190	1	2023-08-18 23:04:31	2023-08-19 21:40:41	39.1318533	39.42205	-9.6560817	-9.502105	22.6027777777778	1851.87	31.91	19.4328358208955	1.42188988498512	9.55023880597015	15.778374598326
