CONT_ID	DATEGMT	Month	Year	MAIN_tracking_Year	LON	LAT	COLONY	stage	UNIQUE_ID	timestamps
5849	14/07/2012 12:47	7	2012	2012	-16.345	24.655	SEL	NON-BREEDING	12	2012-07-14 12:47:00
5850	15/07/2012 00:52	7	2012	2012	-17.715	22.105	SEL	NON-BREEDING	12	2012-07-15 00:52:00
5851	15/07/2012 12:56	7	2012	2012	-16.5475	23.055	SEL	NON-BREEDING	12	2012-07-15 12:56:00
5852	16/07/2012 00:52	7	2012	2012	-17.565	23.975	SEL	NON-BREEDING	12	2012-07-16 00:52:00
5853	16/07/2012 12:37	7	2012	2012	-17.8625	22.65	SEL	NON-BREEDING	12	2012-07-16 12:37:00
5854	17/07/2012 00:41	7	2012	2012	-18.43	17.035	SEL	NON-BREEDING	12	2012-07-17 00:41:00
5855	17/07/2012 12:54	7	2012	2012	-18.025	18.655	SEL	NON-BREEDING	12	2012-07-17 12:54:00
5856	18/07/2012 00:55	7	2012	2012	-18.145	22.135	SEL	NON-BREEDING	12	2012-07-18 00:55:00
5857	18/07/2012 12:48	7	2012	2012	-16.515	20.935	SEL	NON-BREEDING	12	2012-07-18 12:48:00
5858	19/07/2012 00:48	7	2012	2012	-16.505	18.905	SEL	NON-BREEDING	12	2012-07-19 00:48:00
5859	19/07/2012 12:48	7	2012	2012	-16.625	19.265	SEL	NON-BREEDING	12	2012-07-19 12:48:00
5860	20/07/2012 00:47	7	2012	2012	-16.235	19.625	SEL	NON-BREEDING	12	2012-07-20 00:47:00
5861	20/07/2012 12:48	7	2012	2012	-16.605	20.525	SEL	NON-BREEDING	12	2012-07-20 12:48:00
5862	21/07/2012 00:48	7	2012	2012	-16.475	21.425	SEL	NON-BREEDING	12	2012-07-21 00:48:00
5863	21/07/2012 12:54	7	2012	2012	-17.845	22.835	SEL	NON-BREEDING	12	2012-07-21 12:54:00
5864	22/07/2012 00:58	7	2012	2012	-16.9375	24.325	SEL	NON-BREEDING	12	2012-07-22 00:58:00
5865	22/07/2012 13:03	7	2012	2012	-14	23.64	SEL	NON-BREEDING	12	2012-07-22 13:03:00
5866	23/07/2012 01:25	7	2012	2012	-19.62	18.55	SEL	NON-BREEDING	12	2012-07-23 01:25:00
