Id,Dategmt,Longitude,Latitude,Bird_id
254,2018-08-22 23:06:00,-34.963039,45.157902,L078288
255,2018-08-22 23:17:00,-34.954967,45.148979,L078288
256,2018-08-22 23:27:00,-34.948311,45.128246,L078288
257,2018-08-22 23:37:00,-34.939659,45.132492,L078288
258,2018-08-22 23:48:00,-34.941502,45.115284,L078288
259,2018-08-23 00:00:00,-34.94173,45.116589,L078288
260,2018-08-23 00:10:00,-34.941704,45.117725,L078288
261,2018-08-23 00:20:00,-34.941628,45.118927,L078288
262,2018-08-23 00:30:00,-34.941608,45.12011,L078288
263,2018-08-23 00:40:00,-34.941673,45.121201,L078288
264,2018-08-23 00:50:00,-34.941406,45.122208,L078288
265,2018-08-23 01:00:00,-34.941135,45.123451,L078288
266,2018-08-23 01:10:00,-34.941189,45.124882,L078288
267,2018-08-23 01:20:00,-34.940994,45.126629,L078288
268,2018-08-23 01:31:00,-34.940605,45.128006,L078288
269,2018-08-23 01:41:00,-34.940331,45.129253,L078288
270,2018-08-23 01:51:00,-34.939892,45.130871,L078288
271,2018-08-23 02:01:00,-34.939243,45.132423,L078288
272,2018-08-23 02:11:00,-34.938332,45.133961,L078288
273,2018-08-23 02:21:00,-34.937313,45.135349,L078288
274,2018-08-23 02:31:00,-34.936062,45.136616,L078288
275,2018-08-23 02:41:00,-34.934765,45.137901,L078288
276,2018-08-23 02:52:00,-34.933075,45.139069,L078288
277,2018-08-23 03:02:00,-34.931347,45.14016,L078288
278,2018-08-23 03:12:00,-34.929447,45.141094,L078288
279,2018-08-23 03:22:00,-34.92746,45.142174,L078288
280,2018-08-23 03:32:00,-34.925663,45.142971,L078288
281,2018-08-23 03:43:00,-34.923668,45.143852,L078288
282,2018-08-23 03:53:00,-34.921402,45.144585,L078288
283,2018-08-23 04:03:00,-34.918808,45.145195,L078288
284,2018-08-23 04:13:00,-34.916256,45.145725,L078288
285,2018-08-23 04:23:00,-34.913898,45.146347,L078288
286,2018-08-23 04:33:00,-34.911591,45.146854,L078288
287,2018-08-23 04:43:00,-34.909351,45.147076,L078288
288,2018-08-23 04:53:00,-34.9077,45.146961,L078288
289,2018-08-23 05:03:00,-34.905933,45.146763,L078288
290,2018-08-23 05:13:00,-34.904293,45.146732,L078288
291,2018-08-23 05:23:00,-34.902195,45.146591,L078288
292,2018-08-23 05:33:00,-34.899918,45.146412,L078288
